Name	red	green	blue	rx	gx	bx
aliceblue	240	248	255	F0	F8	FF
antiquewhite	250	235	215	FA	EB	D7
antiquewhite1	255	239	219	FF	EF	DB
antiquewhite2	238	223	204	EE	DF	CC
antiquewhite3	205	192	176	CD	C0	B0
antiquewhite4	139	131	120	8B	83	78
aquamarine	127	255	212	7F	FF	D4
aquamarine1	127	255	212	7F	FF	D4
aquamarine2	118	238	198	76	EE	C6
aquamarine3	102	205	170	66	CD	AA
aquamarine4	69	139	116	45	8B	74
azure	240	255	255	F0	FF	FF
azure1	240	255	255	F0	FF	FF
azure2	224	238	238	E0	EE	EE
azure3	193	205	205	C1	CD	CD
azure4	131	139	139	83	8B	8B
beige	245	245	220	F5	F5	DC
bisque	255	228	196	FF	E4	C4
bisque1	255	228	196	FF	E4	C4
bisque2	238	213	183	EE	D5	B7
bisque3	205	183	158	CD	B7	9E
bisque4	139	125	107	8B	7D	6B
black	0	0	0	0	0	0
blanchedalmond	255	235	205	FF	EB	CD
blue	0	0	255	0	0	FF
blue1	0	0	255	0	0	FF
blue2	0	0	238	0	0	EE
blue3	0	0	205	0	0	CD
blue4	0	0	139	0	0	8B
blueviolet	138	43	226	8A	2B	E2
brown	165	42	42	A5	2A	2A
brown1	255	64	64	FF	40	40
brown2	238	59	59	EE	3B	3B
brown3	205	51	51	CD	33	33
brown4	139	35	35	8B	23	23
burlywood	222	184	135	DE	B8	87
burlywood1	255	211	155	FF	D3	9B
burlywood2	238	197	145	EE	C5	91
burlywood3	205	170	125	CD	AA	7D
burlywood4	139	115	85	8B	73	55
cadetblue	95	158	160	5F	9E	A0
cadetblue1	152	245	255	98	F5	FF
cadetblue2	142	229	238	8E	E5	EE
cadetblue3	122	197	205	7A	C5	CD
cadetblue4	83	134	139	53	86	8B
chartreuse	127	255	0	7F	FF	0
chartreuse1	127	255	0	7F	FF	0
chartreuse2	118	238	0	76	EE	0
chartreuse3	102	205	0	66	CD	0
chartreuse4	69	139	0	45	8B	0
chocolate	210	105	30	D2	69	1E
chocolate1	255	127	36	FF	7F	24
chocolate2	238	118	33	EE	76	21
chocolate3	205	102	29	CD	66	1D
chocolate4	139	69	19	8B	45	13
coral	255	127	80	FF	7F	50
coral1	255	114	86	FF	72	56
coral2	238	106	80	EE	6A	50
coral3	205	91	69	CD	5B	45
coral4	139	62	47	8B	3E	2F
cornflowerblue	100	149	237	64	95	ED
cornsilk	255	248	220	FF	F8	DC
cornsilk1	255	248	220	FF	F8	DC
cornsilk2	238	232	205	EE	E8	CD
cornsilk3	205	200	177	CD	C8	B1
cornsilk4	139	136	120	8B	88	78
cyan	0	255	255	0	FF	FF
cyan1	0	255	255	0	FF	FF
